start_time,away_team,away_team_score,home_team,home_team_score
2021-01-24 00:30:00+00:00,MIAMI HEAT,,BROOKLYN NETS,
2021-01-24 01:00:00+00:00,LOS ANGELES LAKERS,,CHICAGO BULLS,
2021-01-24 01:00:00+00:00,NEW ORLEANS PELICANS,,MINNESOTA TIMBERWOLVES,
2021-01-24 01:30:00+00:00,HOUSTON ROCKETS,,DALLAS MAVERICKS,
2021-01-24 02:00:00+00:00,DENVER NUGGETS,,PHOENIX SUNS,
2021-01-24 20:30:00+00:00,TORONTO RAPTORS,,INDIANA PACERS,
2021-01-24 21:00:00+00:00,CLEVELAND CAVALIERS,,BOSTON CELTICS,
2021-01-24 21:00:00+00:00,OKLAHOMA CITY THUNDER,,LOS ANGELES CLIPPERS,
2021-01-24 23:00:00+00:00,CHARLOTTE HORNETS,,ORLANDO MAGIC,
2021-01-25 00:00:00+00:00,WASHINGTON WIZARDS,,SAN ANTONIO SPURS,
2021-01-25 00:30:00+00:00,ATLANTA HAWKS,,MILWAUKEE BUCKS,
2021-01-25 01:00:00+00:00,SACRAMENTO KINGS,,MEMPHIS GRIZZLIES,
2021-01-25 02:00:00+00:00,NEW YORK KNICKS,,PORTLAND TRAIL BLAZERS,
2021-01-26 00:00:00+00:00,PHILADELPHIA 76ERS,,DETROIT PISTONS,
2021-01-26 00:00:00+00:00,TORONTO RAPTORS,,INDIANA PACERS,
2021-01-26 00:00:00+00:00,CHARLOTTE HORNETS,,ORLANDO MAGIC,
2021-01-26 00:30:00+00:00,MIAMI HEAT,,BROOKLYN NETS,
2021-01-26 00:30:00+00:00,LOS ANGELES LAKERS,,CLEVELAND CAVALIERS,
2021-01-26 01:00:00+00:00,BOSTON CELTICS,,CHICAGO BULLS,
2021-01-26 01:00:00+00:00,SACRAMENTO KINGS,,MEMPHIS GRIZZLIES,
2021-01-26 01:00:00+00:00,SAN ANTONIO SPURS,,NEW ORLEANS PELICANS,
2021-01-26 01:30:00+00:00,DENVER NUGGETS,,DALLAS MAVERICKS,
2021-01-26 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,GOLDEN STATE WARRIORS,
2021-01-26 03:00:00+00:00,OKLAHOMA CITY THUNDER,,PORTLAND TRAIL BLAZERS,
2021-01-27 00:30:00+00:00,LOS ANGELES CLIPPERS,,ATLANTA HAWKS,
2021-01-27 01:00:00+00:00,WASHINGTON WIZARDS,,HOUSTON ROCKETS,
2021-01-27 02:00:00+00:00,NEW YORK KNICKS,,UTAH JAZZ,
2021-01-28 00:00:00+00:00,INDIANA PACERS,,CHARLOTTE HORNETS,
2021-01-28 00:00:00+00:00,DETROIT PISTONS,,CLEVELAND CAVALIERS,
2021-01-28 00:00:00+00:00,SACRAMENTO KINGS,,ORLANDO MAGIC,
2021-01-28 00:30:00+00:00,BROOKLYN NETS,,ATLANTA HAWKS,
2021-01-28 00:30:00+00:00,DENVER NUGGETS,,MIAMI HEAT,
2021-01-28 00:30:00+00:00,LOS ANGELES LAKERS,,PHILADELPHIA 76ERS,
2021-01-28 00:30:00+00:00,MILWAUKEE BUCKS,,TORONTO RAPTORS,
2021-01-28 01:00:00+00:00,CHICAGO BULLS,,MEMPHIS GRIZZLIES,
2021-01-28 01:00:00+00:00,WASHINGTON WIZARDS,,NEW ORLEANS PELICANS,
2021-01-28 01:30:00+00:00,BOSTON CELTICS,,SAN ANTONIO SPURS,
2021-01-28 02:00:00+00:00,OKLAHOMA CITY THUNDER,,PHOENIX SUNS,
2021-01-28 02:00:00+00:00,DALLAS MAVERICKS,,UTAH JAZZ,
2021-01-28 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,GOLDEN STATE WARRIORS,
2021-01-29 00:00:00+00:00,LOS ANGELES LAKERS,,DETROIT PISTONS,
2021-01-29 00:00:00+00:00,LOS ANGELES CLIPPERS,,MIAMI HEAT,
2021-01-29 02:00:00+00:00,GOLDEN STATE WARRIORS,,PHOENIX SUNS,
2021-01-29 02:30:00+00:00,PORTLAND TRAIL BLAZERS,,HOUSTON ROCKETS,
2021-01-30 00:00:00+00:00,INDIANA PACERS,,CHARLOTTE HORNETS,
2021-01-30 00:00:00+00:00,LOS ANGELES CLIPPERS,,ORLANDO MAGIC,
2021-01-30 00:00:00+00:00,ATLANTA HAWKS,,WASHINGTON WIZARDS,
2021-01-30 00:30:00+00:00,MILWAUKEE BUCKS,,NEW ORLEANS PELICANS,
2021-01-30 00:30:00+00:00,CLEVELAND CAVALIERS,,NEW YORK KNICKS,
2021-01-30 00:30:00+00:00,SACRAMENTO KINGS,,TORONTO RAPTORS,
2021-01-30 01:00:00+00:00,PHILADELPHIA 76ERS,,MINNESOTA TIMBERWOLVES,
