slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
ojelese01,Semi Ojeleye,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1139,2,2,1,1,0,1,1,3,1,0,0,0,1,5.9
paulch01,Chris Paul,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1665,3,9,0,2,2,2,1,3,5,2,0,3,3,5.8
whiteco01,Coby White,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1828,2,11,1,7,4,4,0,2,7,2,0,3,2,5.8
wrighde01,Delon Wright,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1149,2,5,1,3,0,0,0,2,4,1,0,1,0,5.7
clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,1551,5,9,0,2,0,1,0,3,0,0,1,1,1,5.5
okafoja01,Jahlil Okafor,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,918,4,7,0,0,0,0,4,3,1,0,0,2,4,5.5
smithis01,Ish Smith,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1373,2,7,1,2,2,2,0,4,3,0,1,1,1,5.5
dienggo01,Gorgui Dieng,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,706,2,3,1,2,0,0,0,1,1,1,2,1,2,5.3
quickim01,Immanuel Quickley,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,746,1,3,0,1,3,3,0,1,1,1,0,0,0,5.3
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,1776,3,12,2,8,1,2,1,2,3,3,0,1,4,5.2
fernabr01,Bruno Fernando,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1088,2,3,0,0,1,2,3,4,1,2,0,3,3,5.1
powelno01,Norman Powell,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,1389,2,11,1,6,7,8,0,1,1,1,0,0,4,5.1
robinmi01,Mitchell Robinson,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1270,1,2,0,0,1,2,2,4,0,0,3,0,3,5.1
williro04,Robert Williams,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,748,2,2,0,0,0,0,3,1,0,0,1,1,1,5.1
doumbse01,Sekou Doumbouya,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,810,3,8,0,2,0,1,2,7,1,0,0,0,1,5.0
herroty01,Tyler Herro,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,1926,6,14,1,5,0,0,0,6,4,0,0,4,3,5.0
birchkh01,Khem Birch,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,867,2,4,0,0,2,2,1,1,0,1,0,0,3,4.8
toppiob01,Obi Toppin,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1413,3,12,3,7,0,0,0,3,1,0,2,0,0,4.8
klebima01,Maxi Kleber,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1613,2,8,2,7,4,4,1,2,1,0,0,1,4,4.6
okekech01,Chuma Okeke,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1320,1,3,0,1,1,2,2,3,2,1,0,1,0,4.6
olynyke01,Kelly Olynyk,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,1199,2,6,1,3,0,0,0,3,1,2,0,0,2,4.4
cartemi01,Michael Carter-Williams,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1065,2,5,0,2,0,0,3,0,0,1,1,0,2,4.3
connapa01,Pat Connaughton,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1388,2,3,2,3,0,0,0,1,1,0,0,1,1,4.3
crowdja01,Jae Crowder,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1557,1,6,1,5,1,2,0,9,4,0,0,1,0,4.3
hartjo01,Josh Hart,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,1601,2,5,1,4,1,3,1,4,1,2,0,2,2,4.3
mokokad01,Adam Mokoka,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1007,2,6,0,3,0,0,1,1,2,1,1,0,1,4.3
